
      Code    RO Data    RW Data    ZI Data      Debug   Object Name
      2046          0          0         32       1436   mem_dbg.obj
       182          0          0          0        304   names.obj
       456          0          0          0        140   o_dir.obj
      1020          0          4         12        960   o_names.obj
         8          0          0          0         60   o_time.obj
      2504      49245       5726          4       1576   obj_dat.obj
       254          0          0          0        128   obj_lib.obj
         0          0          0          0          0   ofb64ede.obj
         0          0          0          0          0   ofb64enc.obj
         0          0          0          0          0   ofb_enc.obj
       612          0          0          0        136   p5_crpt.obj
       654          0          0          0        148   p5_crpt2.obj
       336         87          0          0        316   p5_pbe.obj
       644        241          0          0        556   p5_pbev2.obj
        92        184          0          0        300   p8_pkey.obj
        60          0          0          0         64   p_dec.obj
        60          0          0          0         64   p_enc.obj
      1028          0          0          0       1104   p_lib.obj
       216          0          0          0        140   p_open.obj
       186          0          0          0        140   p_seal.obj
       192          0          0          0         76   p_sign.obj
       204          0          0          0         76   p_verify.obj
         0          0          0          0          0   pcbc_enc.obj
      1056          0          0          0       1376   pem_all.obj
      1080          0          0          0        156   pem_info.obj
      3700         69          0          0        792   pem_lib.obj
       100          0          0          0         72   pem_oth.obj
       796          0          0          0        696   pem_pk8.obj
       456          0          0          0         76   pem_pkey.obj
       604          0          0          0        216   pem_seal.obj
       122          0          0          0        192   pem_sign.obj
        88          0          0          0        128   pem_x509.obj
       208          0          0          0        256   pem_xaux.obj
         0          0          0          0          0   qud_cksm.obj
         0          0          0          0          0   rand_key.obj
       232          0          0          4        492   rand_lib.obj
      1156          0          0          0        212   rc2_cbc.obj
       100         39          0          0         64   rc2_ecb.obj
       148          0        256          0         64   rc2_skey.obj
       278          0          0          0         72   rc2cfb64.obj
       228          0          0          0         72   rc2ofb64.obj
         0          0          0          0          0   rc4_enc.obj
        20         39          0          0         52   rc4_skey.obj
         0          0          0          0          0   rpc_enc.obj
       146        365         16          0        472   rsa_asn1.obj
       644          0          0          0         76   rsa_chk.obj
         0          0          0          0          0   rsa_depr.obj
      3502         24         56          0        748   rsa_eay.obj
       738         39          0          4        788   rsa_eng.obj
       888          0          0          0        136   rsa_gen.obj
       604          0          0          0        588   rsa_lib.obj
       140          0          0          0        132   rsa_none.obj
       160          9         56          0        396   rsa_null.obj
       734          0          0          0        292   rsa_oaep.obj
       508          0          0          0        288   rsa_pk1.obj
       808          8          0          0        144   rsa_pss.obj
       344          0          0          0        152   rsa_saos.obj
       668          0          0          0        152   rsa_sign.obj
       304          0          0          0        144   rsa_ssl.obj
       282          0          0          0        188   rsa_x931.obj
         0          0          0          0          0   set_key.obj
         0          0          0          0          0   sha1_one.obj
         0          0          0          0          0   sha1dgst.obj
         0          0          0          0          0   sha_dgst.obj
         0          0          0          0          0   sha_one.obj
       786         41          0          0       1320   stack.obj
         0          0          0          0          0   str2key.obj
       184          0          0          0        196   t_bitst.obj
       608          0          0          0         68   t_crl.obj
      2064          0          0          0        360   t_pkey.obj
      1374         48         48          0        508   t_x509.obj
       476          0          0          0         72   t_x509a.obj
      3816        128          0          0        860   tasn_dec.obj
      1864          0          0          0        696   tasn_enc.obj
       536          0          0          0        328   tasn_fre.obj
       766          0          0          0        496   tasn_new.obj
      1216       1090          0          0       4560   tasn_typ.obj
       452          0          0          0        588   tasn_utl.obj
       240        170          0          0        548   x_algor.obj
       180        196          0          0        368   x_attrib.obj
       176         70         28          0        252   x_bignum.obj
       332        553          0          0        964   x_crl.obj
       112        199          0          0        420   x_exten.obj
       156          0          0          0        124   x_info.obj
       242         67         28          0        240   x_long.obj
       870        302          0          0       1068   x_name.obj
       524          0          0          0        256   x_pkey.obj
      1138        121          0          0        852   x_pubkey.obj
        64         90          0          0        240   x_sig.obj
        64         96          0          0        240   x_val.obj
       410        474         16          0        968   x_x509.obj
       558        272          0          0       1020   x_x509a.obj
         0          0          0          0          0   xcbc_enc.obj
    151880      66880       9015       1668      91996   TOTAL

